frequency_rank;charcter;pinyin
0;25;40;"2018";"woshishabi"
1;23;24;"2018";"sdfsdfsd"
2;23;24;"2018";"sdfsdfsd"
3;235;24;"2018";"sdfsdfsd"
4;50;24;"2018";"sdfsdfsd"
5;60;24;"2018";"sdfsdfsd"



92;本;běn
93;前;qián
94;开;kāi
95;但;dàn
96;因;yīn
97;只;zhǐ
98;从;cóng
99;想;xiǎng
100;实;shí
1;的;de
2;一;yī
3;是;shì
4;不;bù
5;了;le
6;在;zài
7;人;rén
8;有;yǒu
9;我;wǒ
10;他;tā
11;这;zhè
12;个;gè
13;们;men
14;中;zhōng
15;来;lái
16;上;shàng
17;大;dà
18;为;wèi
19;和;hé
20;国;guó
21;地;de
22;到;dào
23;以;yǐ
24;说;shuō
25;时;shí
26;要;yào
27;就;jiù
28;出;chū
29;会;huì
30;可;kě
31;也;yě
32;你;nǐ
33;对;duì
34;生;shēng
35;能;néng
36;而;ér
37;子;zi
38;那;nà
39;得;dé
40;于;yú
41;着;zhe
42;下;xià
43;自;zì
44;之;zhī
45;年;nián
46;过;guò
47;发;fā
48;后;hòu
49;作;zuò
50;里;lǐ
51;用;yòng
52;道;dào
53;行;xíng
54;所;suǒ
55;然;rán
56;家;jiā
57;种;zhǒng
58;事;shì
59;成;chéng
60;方;fāng
61;多;duō
62;经;jīng
63;么;me
64;去;qù
65;法;fǎ
66;学;xué
67;如;rú
68;都;dōu
69;同;tóng
70;现;xiàn
71;当;dāng
72;没;méi
73;动;dòng
74;面;miàn
75;起;qǐ
76;看;kàn
77;定;dìng
78;天;tiān
79;分;fēn
80;还;hái
81;进;jìn
82;好;hǎo
83;小;xiǎo
84;部;bù
85;其;qí
86;些;xiē
87;主;zhǔ
88;样;yàng
89;理;lǐ
90;心;xīn
91;她;tā
92;本;běn
93;前;qián
94;开;kāi
95;但;dàn
96;因;yīn
97;只;zhǐ
98;从;cóng
99;想;xiǎng
100;实;shí
101;日;rì
102;军;jūn
103;者;zhě
104;意;yì
105;无;wú
106;力;lì
107;它;tā
108;与;yǔ
109;长;zhǎng
110;把;bǎ
111;机;jī
112;十;shí
113;民;mín
114;第;dì
115;公;gōng
116;此;cǐ
117;已;yǐ
118;工;gōng
119;使;shǐ
120;情;qíng
121;明;míng
122;性;xìng
123;知;zhī
124;全;quán
125;三;sān
126;又;yòu
127;关;guān
128;点;diǎn
129;正;zhèng
130;业;yè
131;外;wài
132;将;jiāng
133;两;liǎng
134;高;gāo
135;间;jiān
136;由;yóu
137;问;wèn
138;很;hěn
139;最;zuì
140;重;zhòng
141;并;bìng
142;物;wù
143;手;shǒu
144;应;yīng
145;战;zhàn
146;向;xiàng
147;头;tóu
148;文;wén
149;体;tǐ
150;政;zhèng
151;美;měi
152;相;xiāng
153;见;jiàn
154;被;bèi
155;利;lì
156;什;shén
157;二;èr
158;等;děng
159;产;chǎn
160;或;huò
161;新;xīn
162;己;jǐ
163;制;zhì
164;身;shēn
165;果;guǒ
166;加;jiā
167;西;xī
168;斯;sī
169;月;yuè
170;话;huà
171;合;hé
172;回;huí
173;特;tè
174;代;dài
175;内;nèi
176;信;xìn
177;表;biǎo
178;化;huà
179;老;lǎo
180;给;gěi
181;世;shì
182;位;wèi
183;次;cì
184;度;dù
185;门;mén
186;任;rèn
187;常;cháng
188;先;xiān
189;海;hǎi
190;通;tōng
191;教;jiào
192;儿;ér
193;原;yuán
194;东;dōng
195;声;shēng
196;提;tí
197;立;lì
198;及;jí
199;比;bǐ
200;员;yuán
201;解;jiě
202;水;shuǐ
203;名;míng
204;真;zhēn
205;论;lùn
206;处;chù
207;走;zǒu
208;义;yì
209;各;gè
210;入;rù
211;几;jǐ
212;口;kǒu
213;认;rèn
214;条;tiáo
215;平;píng
216;系;xì
217;气;qì
218;题;tí
219;活;huó
220;尔;ěr
221;更;gèng
222;别;bié
223;打;dǎ
224;女;nǚ
225;变;biàn
226;四;sì
227;神;shén
228;总;zǒng
229;何;hé
230;电;diàn
231;数;shù
232;安;ān
233;少;shǎo
234;报;bào
235;才;cái
236;结;jié
237;反;fǎn
238;受;shòu
239;目;mù
240;太;tài
241;量;liàng
242;再;zài
243;感;gǎn
244;建;jiàn
245;务;wù
246;做;zuò
247;接;jiē
248;必;bì
249;场;chǎng
250;件;jiàn
251;计;jì
252;管;guǎn
253;期;qī
254;市;shì
255;直;zhí
256;德;dé
257;资;zī
258;命;mìng
259;山;shān
260;金;jīn
261;指;zhǐ
262;克;kè
263;许;xǔ
264;统;tǒng
265;区;qū
266;保;bǎo
267;至;zhì
268;队;duì
269;形;xíng
270;社;shè
271;便;biàn
272;空;kōng
273;决;jué
274;治;zhì
275;展;zhǎn
276;马;mǎ
277;科;kē
278;司;sī
279;五;wǔ
280;基;jī
281;眼;yǎn
282;书;shū
283;非;fēi
284;则;zé
285;听;tīng
