,x,y,"""note""","""date""","""heure""",,nbr likes,nbr com
1,48.61987,2.42814,Résidence étudiante Les Estudines du Parc ,03/07/2017,09:27,,,
2,48.61984,2.42816,Résidence étudiante Les Estudines du Parc ,03/07/2017,09:58,,,
3,48.62585,2.42881,Evry Courcouronnes Gare RER,03/07/2017,10:53,,,
4,48.8453,2.42196,"Avenue Gambetta, Saint Mandé",03/07/2017,11:25,,,
5,48.8399,2.65647,Torcy Gare RER,03/07/2017,11:35,,,
6,48.84083,2.67164,Collegien,03/07/2017,11:45,,,
7,48.85557,2.77646,Val d'Europe,03/07/2017,20:18,,,
8,48.80215,2.42657,Maisons-Alfort,03/07/2017,20:52,,,
9,48.6198,2.42814,Résidence étudiante Les Estudines du Parc ,03/07/2017,21:07,,1,
10,48.6198,2.42814,Résidence étudiante Les Estudines du Parc ,04/07/2017,09:46,,1,
11,48.62536,2.42865,Evry Courcouronnes Gare RER,04/07/2017,11:17,,,
12,48.83965,2.65554,Torcy Gare RER,04/07/2017,12:25,,,
13,48.85554,2.77637,Le Cercle Restaurant,04/07/2017,19:14,,,
14,48.8552,2.77302,Val d'Europe,04/07/2017,21:01,,1,
15,48.62578,2.42882,Evry Courcouronnes Gare RER,05/07/2017,08:18,,,
16,48.85529,2.77571,Val d'Europe,05/07/2017,09:48,,,
17,48.85348,2.77014,Montévrain,05/07/2017,17:55,,,
18,48.61978,2.42814,Résidence étudiante Les Estudines du Parc ,05/07/2017,19:34,,2,
19,48.61984,2.42815,Résidence étudiante Les Estudines du Parc ,06/07/2017,10:26,,,
20,48.62834,2.42587,Carrefour Evry,06/07/2017,11:19,,,1
21,48.61981,2.42812,Résidence étudiante Les Estudines du Parc ,06/07/2017,11:53,,1,2
22,48.62187,2.42733,Evry ,06/07/2017,13:27,,1,1
23,48.62689,2.42942,Evry Courcouronnes Gare RER,06/07/2017,13:40,,,
24,48.62109,2.42745,Résidence étudiante Les Estudines du Parc ,06/07/2017,14:10,,2,
25,48.62851,2.42915,Carrefour Evry,06/07/2017,18:33,,,1
26,48.61982,2.42814,Résidence étudiante Les Estudines du Parc ,06/07/2017,19:15,,3,
27,48.61981,2.42738,Résidence étudiante Les Estudines du Parc ,07/07/2017,20:28,,1,
28,48.62287,2.42882,Evry Courcouronnes Gare RER,07/07/2017,23:18,,2,
29,48.61986,2.42792,Résidence étudiante Les Estudines du Parc ,07/07/2017,23:48,,,
30,48.621,2.4276,Résidence étudiante Les Estudines du Parc ,08/07/2017,08:15,,,
31,48.84324,2.58118,Gare RER de Champs-Sur-Marne,08/07/2017,09:44,,,
32,48.85558,2.77545,Val d'Europe,08/07/2017,10:00,,,
33,48.6254,2.42755,Evry Courcouronnes Gare RER,08/07/2017,14:11,,1,
34,48.62071,2.42758,Résidence étudiante Les Estudines du Parc ,08/07/2017,14:16,,,
35,48.61998,2.42798,Résidence étudiante Les Estudines du Parc ,08/07/2017,18:15,,,
36,48.62617,2.42971,Gare d'Evry,10/07/2017,09:50,,2,1
37,48.85543,2.77564,Val d'Europe,10/07/2017,11:29,,,
38,48.65517,2.39725,Grigny Centre Gare RER,10/07/2017,19:39,,2,
39,48.61976,2.42818,Résidence Etudiante ,10/07/2017,20:00,,3,
40,48.62072,2.42734,Caisse d'Epargne Evry,11/07/2017,09:39,,1,
41,48.62599,2.42807,Gare d'Evry,11/07/2017,09:45,,1,
42,48.85588,2.77927,Val d'Europe,11/07/2017,12:18,,,
43,48.85572,2.77542,L'Agape Café,11/17/2017,17:42,,,
44,48.62049,2.4278,Résidence Etudiante ,11/17/2017,20:11,,,
45,48.61936,2.4271,Résidence Etudiante ,12/07/2017,00:39,,1,
46,48.8555,2.77624,Val d'Europe,12/07/2017,13:17,,,
47,48.85507,2.77248,Val d'Europe,12/07/2017,17:06,,,
48,48.87286,2.2976,Arc de Triomphe,12/07/2017,19:01,,,
49,48.84606,2.37524,Boulevard Diderot,12/07/2017,19:45,,,
50,48.62594,2.42889,Gare d'Evry,12/07/2017,21:15,,,
51,48.62082,2.42745,Caisse d'Epargne Evry,12/07/2017,21:24,,,
52,48.6258,2.42845,Gare d'Evry,13/07/2017,06:29,,3,
53,48.85546,2.7759,Val d'Europe,13/07/2017,08:06,,,
54,48.87979,2.70591,Musée Municipal Gatien-Bonnet,13/07/2017,15:41,,1,
55,48.93257,2.04211,Gare de Poissy,13/07/2017,17:30,,3,
56,49.12997,0.39249,Marolles,13/07/2017,19:48,,,
57,49.13742,0.29329,Marolles,13/07/2017,21:26,,,
58,49.12998,0.39253,Marolles,13/07/2017,21:37,,,
59,49.12904,0.37386,Marolles,13/07/2017,21:48,,,
60,49.13007,0.39258,Marolles,13/07/2017,21:58,,,
61,49.13978,0.37186,Marolles,13/07/2017,22:18,,,
62,49.14498,0.26275,Lisieux,13/07/2017,22:25,,,1
63,49.14231,0.26085,Lisieux,13/07/2017,22:26,,,
64,49.11924,0.19284,Saint-Désir,13/07/2017,22:28,,,1
65,49.1414,0.066,Cambremer,13/07/2017,22:35,,,
66,49.14089,0.00758,"L'Église, 14340 Notre-Dame-d'Estrées",13/07/2018,22:39,,,
67,49.14016,-0.0223,Corbon,13/07/2017,22:42,,,
